Gene,Coefficient(Slope),P-Value,null_rejected
HNRNPA1P64,0.0862521748050245,0.0001541118182469,True
SPATA1,0.3279644150285433,0.0021572629175994,True
CTBS,0.2562734361659026,0.0010357045980906,True
RP11-33E12.2,0.3070835375143848,0.0039048054365231,True
C1orf52,0.101756592370111,0.0031161634693267,True
ODF2L,0.2138607634894496,3.668020559824395e-06,True
RP4-612B15.3,0.4066805401154411,0.0001146301214792,True
SH3GLB1,0.3134296009761847,0.0001481878285148,True
SELENOF,0.1647088180471755,0.0007868621268243,True
HS2ST1,0.2653911114243428,8.3234084460124e-06,True
PKN2,0.1959988077667714,0.006283882310171,True
RP11-82K18.2,0.3233822706671523,0.0075097429195232,True
PTGES3P1,0.1818774673244911,0.0001607828118829,True
GBP2,0.1573768353248162,0.0018234887104096,True
KIAA1107,0.3298224308112663,0.0002837603579333,True
RP4-621B10.8,0.394771349193529,0.0020284164132057,True
RP4-593M8.1,0.1155038084500919,0.0065595646285923,True
CCDC18,0.2387049688255873,1.954509834284191e-05,True
DNTTIP2,0.1373652202300038,0.0018211497992679,True
GCLM,0.1959976289858799,0.0020739300390625,True
MTCO3P21,0.073253291247344,0.0044949761043479,True
ARHGAP29,0.2613226570968055,0.005847118093877,True
ABCD3,0.164805139867764,0.0061779066384835,True
PTBP2,0.2105196705538903,0.0015858128445736,True
DPYD,0.213729548698305,0.0011761760874206,True
RP11-272L13.4,0.3023123584093486,0.0057873951634219,True
MFSD14A,0.1290266586567068,0.0065275010576126,True
SASS6,0.1987094563531393,0.0028815674882782,True
RP11-421L21.2,0.2580309691776106,0.0069848204707378,True
RP11-421L21.3,0.3918535271870154,5.4437404798069584e-05,True
S1PR1,0.223292791781945,0.0063628952486611,True
RP4-575N6.5,0.3430433941088981,0.001846114057456,True
AMY2B,0.1679629627368847,0.0006129026677024,True
VAV3,0.1561673549409566,0.000428937171976,True
SLC25A24,0.2879616348404181,0.0009495034424043,True
NBPF6,-0.1426710745089698,0.0033015393233163,True
FNDC7,0.312126833249474,0.0065648912353059,True
STXBP3,0.244301787220998,0.000586143068342,True
GPSM2,0.1582842878925506,0.0014187863587422,True
